Number;Name;Type;Quotations;Groups;Comment;Creator;Creation Date;Modifier;Modification Date;Origin
95;Benbenishty et al. - 2002 - Information-search and decision-making by professionals and nonprofessionals in cases of alleged child-abuse.pdf;PDF;186;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: identify the ways in which deci- sion-makers search for information and use it to reach their risk-assessments and their recommendations of whether to remove children from home. Participants/ Sample: 300 Social Workers, Trainees, Students  Approach: Quantitative Research tools: Vignettes Findings: signs of physical abuse had significant im- pact on risk-judgments. Nonprofessionals tended to assess higher risk, recommend removal, and were influenced by information on physical abuse more than the other two groups. Locality/ Context: Israel;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
96;Leschied, Chiodo, Whitehead - 2003 - The Empirical Basis of Risk Assessment in Child Welfare The Accuracy of Risk Assessment and Clinica.pdf;PDF;86;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: SA Statistical Analysis;Aim/ Question: This study compared risk ratings of one risk assessment tool to decisions made by case managers. Participants/ Sample: 450 children Approach: Quantitative Research tools: Case File Analysis Findings: Risk assessment was consistent with clinical judgment in 74% to 81% of cases, more than previously reported in studies of risk assessment validity. Locality/ Context: Canada;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
97;BC - 2003 - Supporting families and protecting children assisting child care professionals in initial decision-making and review of case.pdf;PDF;97;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: CF Case File Analysis;Aim/ Question: Monitor change of policy in terms of shift in response to child care referrals. How effective social workers were in their judgements about whether a family-supportive or child- protection approach was the best means of responding to concerns about a family.  Participants/ Sample: 400 CP/ CIN Cases  Approach: Quantitative Research tools:  Findings: Locality/ Context: UK;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
101;Benbenishty, Chen - 2003 - Decision Making by the Child Protection Team of a Medical Center.pdf;PDF;6;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: CF Case File Analysis;Aim/ Question: Decision making process of a CP Team Participants/ Sample: 139 case files Approach: Quantitative Research tools: univariate and multivariate analysis Findings: Characteristics of the family were stronger predictors of the decisio than the characteristics of the child.  Locality/ Context: Israel;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
102;Iwaniec, Donaldson, Allweis - 2004 - The plight of neglected children - social work and judicial decision-making, and management of negl.pdf;PDF;165;Appr: MM Mixed Methods, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: CF Case Factors, Tool: CF Case File Analysis, Tool: ET Interview, Focus Group, Observation;Aim/ Question: examine changes to the gateways to care under the Children (Northern Ireland) Order 1995 (SI 1995/755) Participants/ Sample: Data on 107 children (interviews with 14) Approach: Mixed Methods Research tools: Documentary Analysis, Semi-Structured Interviews Findings: Often a decision is taken to leave a child in a dysfunctional, neglectful home because there is evidence of love and attachment between mother and children. Locality/ Context: UK/ Northern Ireland;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
104;Davidson-Arad et al. - 2005 - Social Workers' Decisions on Removal Predictions from Their Initial Perceptions of the Child's Features, P.pdf;PDF;149;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: whether social workers’ decisions on removal could be predicted by features of the children, the parents, and the children’s quality of life Participants/ Sample: 99 children at risk (their social workers) Approach: Quantitative Research tools: Quality of life Questionaires Findings: the examined features of the parents and children had only limited predictive power Locality/ Context: Israel;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
109;Platt - 2006 - Threshold Decisions How Social Workers Prioritize Referrals of Child Concern.pdf;PDF;123;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: This paper examines local authority social workers’ decision-making when considering referrals of children, where the concerns are on the margin of child protection procedures.  Participants/ Sample: 23 Social Workers and parents Approach: Qualitative Research tools: Interviews Findings: Conclusions are that referrals were evaluated on the basis of five key factors, specificity, severity, risk, parental accountability and corroboration, the use of which determined whether an initial assessment or an investigation of alleged abuse took place. Locality/ Context: UK;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
117;Rivaux et al. - 2008 - The Intersection of Race, Poverty, and Risk Understanding the Decision to Provide Services to Clients and to Remo.pdf;PDF;138;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: SA Statistical Analysis;Aim/ Question: how risk of future abuse/neglect to the child entered into the decisions and particularly, how assumptions about race, poverty, and risk are factored into the decision-making process. Participants/ Sample: Cases from the Texas DFPS child welfare database from the period of September 1, 2003, through February 28, 2005 (n   123,621). Approach: Quantitative Research tools: Case Analysis Findings: The bivariate logistic analyses suggest that, all else being equal, race, risk, and income predict the services decision and the removal decision.  Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
118;Ben-Arieh - 2008 - The influence of social indicators data on decision making in regard to children's well-being.pdf;PDF;129;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: how social indicator data influence decision making in regard to children’s well-being.  Participants/ Sample: 20 Approach: Qualitative Research tools: face-to-face interviews Findings: all interviewees made reference in their interview to 8 of the 19 criteria or conditions, which at least 90% of the interviewees thought were important. Seven other criteria or conditions were referred to in 15 to 19 interviews, with relatively high support for their importance (ranging from 63.2 to 100%) Locality/ Context: Israel;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
119;Talbot - 2008 - Successful Family Reunification Looking at the Decision-Making Process.pdf;PDF;85;Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: How social workers used the theoretical knowledge base of the profession in their work with dificult families, and how it helped to facilitate the decision to recommend family reunification.  Participants/ Sample: 12 MSW Approach: Qualitative Research tools: Interview Findings: The data also produced a constellation of successful variables that offers a tool to aid other practitioners in their work with families, and in organizing and presenting documentation that would sup- port a recommendation for family reuni cation to the courts.  Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
123;Harris, Hackett - 2008 - Decision points in child welfare An action research model to address disproportionality.pdf;PDF;232;Appr: MM Mixed Methods, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: analyze key decision points where racial disproportionality grew wider in child welfare. Participants/ Sample:  Approach: Mixed Methods Research tools: Secondary Analysis Findings: Analysis confirms findings of other research pointing to referral bias, unclear or problematic policies related to engaging kin, the confounding role of poverty, and racial disparities in the availability of services to ameliorate family problems Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
129;Cross, Casanueva - 2009 - Caseworker Judgments and Substantiation.pdf;PDF;262;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: SA Statistical Analysis;Aim/ Question:  Participants/ Sample: Using information from 4,515 children from a national probability study of children investigated for maltreatment, Approach: Quantitative Research tools: Analysis of National Survey of Child and Adolescent Well-being Findings: substantiation is generally based on judgments of harm, risk, and evidence but not exclusively.  Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
136;Regehr et al. - 2010 - Confidence and Professional Judgment in Assessing Children's Risk of Abuse.pdf;PDF;167;Appr: MM Mixed Methods, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: the influence of specific context and worker characteristics on professional judgment in the use of risk assessment measures Participants/ Sample: 96 child welfare workers employed at 12 different child welfare offices Approach: Qualitative Research tools: standardized patients performing in scenarios Findings: here was considerable variability in risk appraisals. Locality/ Context: Canada;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
141;Johnson et al. - 2012 - Structuring the Decision to Accept a Child Protection Report.pdf;PDF;149;Appr: MM Mixed Methods, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: evalu ate a screening and response time assessment for child protective services intake staff  Participants/ Sample:  Approach: Mixed Methods Research tools: Reliability Testing, qualitative review, survey Findings: The findings suggest that the assessment and associated definitions can help workers make consistent screening decisions when provided with the same information. Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
143;Johnson-Motoyama, Dettlaff, Finno - 2012 - Parental nativity and the decision to substantiate Findings from a study of Latino children i.pdf;PDF;179;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: SA Statistical Analysis;Aim/ Question: The purpose of this study was to examine the prevalence, characteristics, and risk factors of Latino children who come to the attention of the child welfare system by parental nativity subgroup, and to examine the relationship of parental nativity to substantiation in the U.S. Latino child welfare population.  Participants/ Sample: sample included children of Hispanic background who participated the second National Survey of Child and Adolescent Well-being (NSCAW II) Approach: Quantitative Research tools:  Findings: mixed nativity families had significantly lower odds of substantiation Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
149;Maguire-Jack, Byers - 2013 - The impact of prevention Programs on decisions in child protective services.pdf;PDF;173;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: the authors sought to gain insight into the ways in which child protective serv- ices (CPS) workers use their knowledge of maltreatment prevention programs in deciding whether to screen cases in, open cases for ongoing services, and substan- tiate maltreatment. Participants/ Sample: 13 CPS Workers Approach: Qualitative Research tools: in-depth interviews Findings: the maltreatment prevention programs had a direct impact on screening and case opening/closing decisions but not sub- stantiation decisions Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
153;Roesch-Marsh - 2014 - Risk Assessment and Secure Accommodation Decision-Making in Scotland Taking Account of Gender.pdf;PDF;115;Appr: MM Mixed Methods, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: CF Case Factors, Tool: CF Case File Analysis, Tool: ET Interview, Focus Group, Observation, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: The article examines how risk assessment practices on the part of social workers and senior decision makers were influenced by gender discourses.  Participants/ Sample: 110 Referrals surveyed, 34 professionals interviewed/ focus group, 7 young people, 15 observations Approach: Mixed Methods, Case Study Approach Research tools: Survey, interviews, focus groups, observations of case discussions Findings: The findings highlight the complexities of taking account of gender within the risk assessment process and the article concludes by making some suggestions for practice.  Locality/ Context: Scotland;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
157;Stokes, Taylor - 2014 - Does Type of Harm Matter A Factorial Survey Examining the Influence of Child Neglect on Child Protection Decisio.pdf;PDF;170;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: The aim of this study was to explore social workers’ decision-making and intervention levels according to type of maltreatment with a particular focus on neglect.  Participants/ Sample: 118 workers Approach: Quantitative Research tools: Secondary analysis of factorial survey data Findings: Social workers responded differently when the harm was child neglect. The respondents attributed a lower level of risk, a less intense service provision and fewer contact hours compared with when the harm was physical abuse or sexual abuse.  Locality/ Context: Canada;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
159;Levin - 2015 - Involvement as inclusion Shared decision-making in social work practice in Israel a qualitative account.pdf;PDF;125;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: study examined SDM and the dilemmas it entails Participants/ Sample: 77 Israelie social workers and policy makers Approach: Qualitative Research tools: Interviews Findings: Participants’ responses represent notions of hope, change, identity and choice.  Locality/ Context: Israel;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
160;Reisel - 2016 - Practitioners' perceptions and decision‐making regarding child sexual exploitation – a qualitative vignette study.pdf;PDF;193;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: VT Vignettes Critical Incident Technique;Aim/ Question:  to trace professional perception and decision-making on Child Sexual Exploitation Participants/ Sample: 52 practitioners Approach: Qualitative Research tools: Vignettes, semi-structured interviews Findings: It was striking that none of the participants ranked the CSE vignettes in the same order. This suggests that the influences on practitionersˈ reasoning are likely var- iable. Sixteen distinct considerations were provided by participants.  Locality/ Context: UK;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
161;Proctor, Azar - 2013 - The effect of parental intellectual disability status on child protection service worker decision making.pdf;PDF;177;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: This study examined whether parental ID (having an ID vs. not) had an effect on CPS workers’ emotional reactions, attributions and decisions about risk to the child, whether to remove the child and workers’ general willingness to help the parent. Participants/ Sample: 212 CPS Workers Approach: Quantitative Research tools: Vignettes Findings: CPS workers made significantly higher ratings of pity, willingness to help and risk for parents with an ID than for parents without an ID. Lower ratings of anger and disgust were found for parents with an ID than for parents without an ID. Parents’ intellectual status did not have a direct effect on workers’ attributions or removal decisions. Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
164;Biehal, Sinclair, Wade - 2015 - Child Abuse & Neglect Reunifying abused or neglected children Decision-making and outcomes.pdf;PDF;193;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: what are the drivers of decisions to reunify children and what are the consequences of these decisions for children’s lives? Importantly, how do these outcomes compare to those for children from similarly adverse backgrounds for whom an alternative decision is made?  Participants/ Sample: 149 maltreated children Approach: Quantitative Research tools: Survey Findings: The two key predictors of reunification were assessments that parental problems had improved and that risks to the child were not unacceptably high.  Locality/ Context: UK;Stefan Kleipoedszus;16/03/2017;Stefan Kleipoedszus;28/03/2017;
165;Fallon et al. - 2015 - Child Abuse & Neglect Exploring alternate specifications to explain agency-level effects in placement decisions r.pdf;PDF;133;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: SA Statistical Analysis;Aim/ Question: The purpose of this paper is to further explore a consistent finding of the previous analyses: the proportion of investigations involving Aboriginal chil- dren at a child welfare agency is associated with placement for all children in that agency.  Participants/ Sample: sample of 15,980 children aged 0 to 15 years who were investigated because of maltreatment-related concerns. Approach: Secondary Analysis Research tools: Statistical Analysis Findings: Specifically, the higher the proportion of investigations of Aboriginal children, the more likely placement was to occur for any child.  Locality/ Context: Canada;Stefan Kleipoedszus;16/03/2017;Stefan Kleipoedszus;28/03/2017;
166;Wittenstrom et al. - 2015 - The impact of drugs, infants, single mothers, and relatives on reunification A Decision-Making Ecology appro.pdf;PDF;132;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: SA Statistical Analysis;Aim/ Question: The impact of drugs, infants, single mothers, and relatives on reunification Participants/ Sample: cohort of 21,763 children  Approach: Quantitative Research tools:  Findings: The four interrelated factors were drug involvement, a solo infant case, single mothers, and relative placements. Locality/ Context: USA;Stefan Kleipoedszus;16/03/2017;Stefan Kleipoedszus;28/03/2017;
167;Saltiel - 2016 - Observing Front Line Decision Making in Child Protection.pdf;PDF;144;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors;"Aim/ Question: How do social workers make decisions in situations of uncertainty and complexity?Participants/ Sample: two social work teams in the north of EnglandApproach: QualitativeResearch tools: Semi-structured interviews; ObservationsFindings: Workers faced problems with inaccurate or incomplete information, poorly defined situations, time pressures and heavy workloadsLocality/ Context: UK";Stefan Kleipoedszus;29/06/2017;Stefan Kleipoedszus;29/06/2017;
168;Alfandari - 2017 - Systemic barriers to effective utilization of decision making tools in child protection practice.pdf;PDF;141;Appr: MM Mixed Methods, Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: OF Organisational Factors, Tool: CF Case File Analysis, Tool: ET Interview, Focus Group, Observation;"Aim/ Question: Evaluate the extend to which a national reform was achieving its aim to strengthen professional judgment. Participants/ Sample: 21 Case StudiesApproach: QualitativeResearch tools: Interviews; Observations; Document ReviewFindings: Limited use of decision making tools in cp practiceLocality/ Context: Israel";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
171;Arad, Wozner - 2001 - The least detrimental alternative.pdf;PDF;81;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;"Aim/ Question: Evaluate the decision to leave a child at home or remove from careParticipants/ Sample: 194 Child Protection WorkersApproach: QuantitativeResearch tools: Survey; Quality of life questionaireFindings: As can be seen from the figure, for both groups of children the respondents predicted a higher quality of life if the child were to be removed from home than if he/she were to remain at home.Locality/ Context: Israel";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
173;Ards et al. - 2012 - Racialized perceptions and child neglect.pdf;PDF;214;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: uncover unconscious and underlying perceptions that, through training or interventions, offer the potential to change behaviorParticipants/ Sample: 459 county child maltreatment intake, assessment, and caseworkersApproach: QuantitativeResearch tools: Vignettes; SurveyFindings: The results show consistently large and significant impacts of the racialized beliefs on substantiation rates.Locality/ Context: USA";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
174;Arruabarrena et al. - 2017 - Racialethnic and socio-economic biases in child maltreatment severity assessment in Spanish child protectio.pdf;PDF;245;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Rev: Included, Subj: CF Case Factors, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: explore the influence on these judgements of the use of structured in- struments and professional experienceParticipants/ Sample: 405 CPS caseworkers and 169 students of social work and psychologyApproach: QuantitativeResearch tools: Vignettes; SurveyFindings: Biases related to family SES were found for students for the vignettes of physical abuse.Locality/ Context: Spain";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
180;Benbenishty et al. - 2014 - Predicting the decisions of hospital based child protection teams to report to child protective services, po.pdf;PDF;143;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: judgments made by hospital-based child protection teams (CPTs)when determining if there is reasonable suspicion that a child has been maltreated, andwhether to report the case to a community welfare agency, to child protective services (CPS)and/or to the police.Participants/ Sample: 968 consecutive cases referred to CPTs during 2010–2011 in six medical centers in Israel.Approach: QuantitativeResearch tools: SurveyFindings: Existing heterogeneity between cases, practitioners and medical centers had an impact on the overallpredictability of the decision to report.Locality/ Context: Israel;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
181;Benbenishty et al. - 2015 - Decision making in child protection An international comparative study on maltreatment substantiation, risk.pdf;PDF;184;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Europe, Loc: Other, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: The relationship between three independent domains of decision making. case characteristics, protective systems context, practitioner characteristicParticipants/ Sample: 828 practitioners from 4 countriesApproach: Quantitative Research tools: Survey; VignettesFindings: Practitioners child welfare attitudes were associated with substantiation, risk assessments and recommendations. Locality/ Context: Israel, Netherlands, Northern Ireland, Spain";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
182;Benbenishty, Osmo, Gold - 2003 - Rationales Provided for Risk Assessments and for Recommended Interventions in Child Protection A Compar.pdf;PDF;191;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: the structure and content of rationales given by social work profes- sionals for risk assessments and recommendations they make with regard to cases of children at riskParticipants/ Sample: 52 social workers from Israel and 67 from CanadaApproach: Quantitative/ SurveyResearch tools: QuestionaireFindings: most workers provided basic level arguments but did not supply complementary level argumentsLocality/ Context: Israel and Canada;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
183;Benbenishty, Segev, Surkis - 2002 - Information-Search and Decision-Making by Professionals and Nonprofessionals in Cases of Alleged Chi.pdf;PDF;161;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: identify the ways in which deci- sion-makers search for information and use it to reach their risk-assessments and their recommendations of whether to remove children from homeParticipants/ Sample: social work professionals, social work trainees and nonprofessionalsApproach: QuantitativeResearch tools: Vignette and QuestionaireFindings:Locality/ Context: ;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
187;Brisebois, Kernsmith, Idalski Carcone - 2013 - The Relationship Between Caseworker Attitudes About Kinship Care and Removal Decisions.pdf;PDF;120;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: This study examined professional attitudes about kinship care and the influence of those attitudes on removal decisions.Participants/ Sample: Caseworkers, Supervisors (n=192)Approach: QuantitativeResearch tools: SurveyFindings: A relationship was found between attitudes and the number of children removed from kinship homes.Locality/ Context: Canada;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
188;Britner, Mossler - 2002 - Professionals' decision-making about out-of-home placements following instances of child abuse.pdf;PDF;172;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: how different groups of child welfare professionals prioritize and use information to make placement decisions following instances of child abuse.Participants/ Sample:  A total of 90 juvenile court judges and guardians ad litem, Court Appointed Special Advocates (CASA), social workers, and mental health professionalsApproach: QuantitativeResearch tools: detailed ques- tionnaire describing four case studies of child physical abuseFindings: professional groups use different kinds of information when making decisions about foster care placements.Locality/ Context: USA ;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
192;Cameron, Statham - 2006 - Variations in duty arrangements to respond to concerns about children's welfare.pdf;PDF;127;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: exploration of the arrangements local authorities had in place in early 2004 to receive referralsParticipants/ Sample: 70 social work managersApproach: QualitativeResearch tools: Interviews, VignetteFindings: Identified variations in responsesLocality/ Context: UK;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
195;Clark, Wilkinson - 2003 - Decision Making by the Child Protection Team of a Medical Center.pdf;PDF;5;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: CF Case File Analysis, Tool: SA Statistical Analysis;"Aim/ Question: The decision whether to conclude that a child was at imminent risk Participants/ Sample: 139 casefilesApproach: QuantitativeResearch tools: Case File Analysis; Statistical AnalysisFindings: The characteristics of the family were stronger predictors of the decision than the characteristics of the child and of the event that brought the child to hospital. Locality/ Context: Israel";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
197;Corby - 2003 - Supporting Families and Protecting Children.pdf;PDF;91;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: CF Case File Analysis;Aim/ Question: What was the impact of the refocussing debate on CP decision in 1997Participants/ Sample: 400 CP casesApproach: QuantitativeResearch tools: Casefile AnalysisFindings: There were no major differences found between the two pre-and post- refocusing sets of samples Locality/ Context: UK;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
203;Darling et al. - 2016 - Divergent Views of Clients and Professionals Divergent Views of Clients and Professionals A Comparison of Respo.pdf;PDF;167;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: identify the ways in which decision-makers search for information and use it to reach their risk-assessments and their recommendations of whether to remove children from homeParticipants/ Sample: 100 respondents each: certified social workers working toward their second degree, social work trainees, and students in the B.A. programApproach: QuantitativeResearch tools: VignettesFindings: information on signs of physical abuse had significant im- pact on risk-judgments, removal recommendations and information search patternsLocality/ Context: Israel;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
