Number;Name;Text Content;Document;Codes;Number of Codes;Comment;Location;Creator;Creation Date;Modifier;Modification Date
21:333;from Mizrahi origin are twice (OR 1⁄4 2.05) as likely to be removed from their home than Ashkenazy c…;from Mizrahi origin are twice (OR 1⁄4 2.05) as likely to be removed from their home than Ashkenazy children at the same level of risk.Our analyses show that, in high-risk cases, the child’s ethnic origin does not predict the social worker’s recommendation for out-of-home placement. However, the findings demonstrate that, in high-risk cases, SES appears as a strong predictor of the social worker’s likeliness to recommend out-of-home placement: low-SES families are 6.3 times more likely to be removed from their home than children at high risk from moderate-high-SES families. This surprising finding suggests that low SES is perceived by social workers as a risk factor and contradicts the hypothesis that, in cases of unam- biguous risk (no-risk/high-risk), SES will have low or no effect on the social worker’s decision making.;Enosh, Bayer-Topilsky - 2015 - Reasoning and bias Heuristics in safety assessment and placement decisions for children at risk.pdf;Structure: Findings Results;1;;start=0 end=834 startpage=10 endpage=10;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
23:230;Descriptive Statistics Approximately 25% of cases were substantiated, and of those, about 24% result…;Descriptive StatisticsApproximately 25% of cases were substantiated, and of those, about 24% resulted in removal. A description of the sample by substantiation and removal can be found in Table 1. Compared with unsubstantiated cases, substantiated cases came from agencies with longer timelines for completing investigations and higher service availability. Substantiated cases were also more likely to come from agencies that lacked a system of care in the area, that were operating under a consent decree and used more standardized assessment tools. On the county level, substantiated cases were more likely than unsubstantiated cases to be from communities with more black residents. Substantiated cases were also more likely to have been investi- gated by caseworkers with an advanced degree and more years of experience. On the family and child level, all risk factors except CPS history and economic problems were more common in substantiated cases than in unsubstantiated cases. Child demographics did not differ by substantiation status.Substantiated cases resulting in removal were more likely to come from agencies allowing 30 or fewer days to complete an investigation and 3 or more days between removal and initial hearing. They were also more likely to come from agencies that lost funding and used a structural decision making model. Removal cases were marginally less likely to have been investigated by a caseworker with a social work degree or an advanced degree. The only family risk factor positively associated with removal was caregiver mental health and substance abuse problems. Additionally, removal cases were more likely than non-removal cases to involve black children or younger children, and less likely to involve non-Hispanic children of a race other than white or black.HLM ResultsResults of our HLM estimates predicting substantiation are found in Table 2. We find no statistically significant asso- ciations between time factors and substantiation. However, for service availability, we find that two factors, collaboration and ability to provide services for unsubstantiated cases, are associated with a significantly lower probability of substan- tiation, even after controlling for county, family and child characteristics. These factors predict a 16 (collaboration) and 20 (services for unsubstantiated cases) percentage point (PP) lower probability of substantiation. For decision-making fac- tors, we find that use of a structural decision-making model predicts a large decrease in the probability of substantiation,;Font, Maguire-Jack - 2015 - Reprint of Decision-making in child protective services Influences at multiple levels of the social ecology.pdf;Structure: Findings Results;1;;start=3030 end=5590 startpage=5 endpage=5;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
26:216;various things she is coming across like domestic violence, drug use, etc. Not being supported to do…;various things she is coming across like domestic violence, drug use, etc. Not being supported to do this in the workplace so does it all in her own time. Realizes that SDM is not the knowledge. (9)As expected, the inexperienced practitioners reflected Fook et al.’s (2000) finding that ‘novices’ are more likely to follow rules to guide their decision- making. They tended to use analytical reasoning with reference to sources external to them, such as the SDM tools and the Practice Manual.LESS EXPERIENCED PRACTITIONERS (1–5 YEARS)Within this group of participants (14 of the total), there were those who, despite their growing experi- ence, expressed their dependency on the tools:Could not imagine what would happen if there was no more SDM tomorrow, does rely on it to guide her practice. (29)But also that their dependency would reduce with time:Could see that, as her experience grows, she would outgrow SDM and not be so reliant on it.Then she might be less likely to use it. (29)For others, their use of the tools was not contingent on the passing of time:Experience is not a factor as there is only one right way to interpret the definitions and use the tools. The definitions are very clear. (33)Participants in this group not only discussed how they used the tools at the time of the interview, but also reflected on how they had used them when they had started work with the Department:It provides really good guidance to people who are new to the Department and child protection, particularly about what constitutes risk. (28)She started in the job when SDM was being rolled out. She thought it was brilliant because she had no practice framework. (33)She loved it (SDM) when it first came in because it gave her a sense of order, told her what to do. Feels there should be more emphasis on training about the tools and compliance with them. She gets confused by the way that people choose to take notice of the tools or not. (42)There was also concern expressed about the efficacy of the tools for inexperienced practitioners:Newer workers also don’t use it (SDM) as a guide to profes- sional judgment – they take it literally. (21)The tools were also considered to be educative:She does not need Structured Decision Making but thinks it is good for inexperienced workers – good for provoking discus- sion and can be used as a learning tool to help develop knowl- edge. (16)Participants also spoke positively about the debates that the SDM tools had stimulated when they were introduced in the department as practitioners, team leaders and managers started to use them and engage with the definitions of abuse and neglect they contain. It was lamented that these debates had gradually sub- sided over the months as some form of consensus was reached within teams and Child Safety Service Centres (CSSC). However, consensus did not mean that there was overall consistency in how the tools were interpreted or used, as this differed from one team to another and one CSSC to another (Gilling- ham & Humphreys 2010).Within the Department, more experienced practi- tioners, team leaders, senior practitioners and manag- ers talked about the need to develop a ‘professional framework’ or ‘practice framework’. This was consid- ered important because, as evidenced in the sample of participants for this research, most of the practitioners were not qualified social workers and had little or no experience of work in the human services sector before joining the department. While the attitudes of unqualified participants towards social workers ranged from hostile to ambivalent, one participant who was not a qualified social worker provided the following observation:Has noticed at training that there is a big difference between people who have done social work and those with psych degrees – the social workers already had a practice framework whereas she herself had no idea when she started. (33)Within this group of participants, there was evi- dence to suggest that reliance on the tools as the main source of knowledge and guidance had started to diminish with time. However, this finding needs to be considered in the context of the main findings of the research. While some participants may have articu- lated a reliance on the tools, at least initially, there were many participants within this group who described how they could and did manipulate the tools to get the responses they wanted, having already made a decision. As stated previously, there was little evidence that the tools were used to assist decision- making (Gillingham 2009a).;Gillingham - 2011 - Decision-making tools and the development of expertise in child protection practitioners are we ‘just breeding w.pdf;Structure: Findings Results;1;;start=49 end=4634 startpage=4 endpage=4;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
28:287;Research findings in relation to the aims of SDM During interviews, participants were asked how they…;Research findings in relation to the aims of SDMDuring interviews, participants were asked how they used and regarded the SDM tools and they made statements about the tools generally and about specific tools. More specific questions were also asked as the research pro- ceeded, in order to explore themes that emerged from previous interviews and the observations of practitioners using the tools. The interviews also allowed space to ask questions about what had been observed during, for example, visits to families, team and office meetings and attendance, when it would not have been appropriate for the researcher to interject. The fol- lowing themes emerged from the data that relate to the main aims of the SDM tools, namely to assist decision making, promote consistency in decision making and target the children most in need. Quotes are presented that represent a dominant response by participants to a particular theme in the data. The statements made by participants are sometimes presented in the third person, as they were recorded by the researcher in the Field Diary.To assist decision makingThe main decisions that were being made by participants in this research were about which referrals to accept for investigation, the urgency of an investigation, whether a child was safe in the short term with their parent/care-giver and which cases should be opened after investigation for further involvement. Early in the fieldwork, it became clear that decisions were being made some time before the SDM tools were com- pleted in the electronic case recording system:Already made their decisions before they use the tools (Interview 7). Tend to have made up their minds before they use the tools (Interview 41).;Gillingham, Humphreys - 2010 - Child Protection Practitioners and Decision-Making Tools Observations and Reflections from the Front Line.pdf;Structure: Findings Results;1;;start=904 end=2631 startpage=6 endpage=6;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
28:288;There was no evidence to suggest that this ‘after the event’ engagement with the tools affected the…;There was no evidence to suggest that this ‘after the event’ engagementwith the tools affected the decision that had already been made:Most of the time they have to think on the run, so make decisions without using the tools. Fine point about whether their thinking is affected by the tools anyway—but in serious cases then common sense takes over anyway (Interview 13).Indeed, participants reported how they manipulated the tools to achieve an outcome that agreed with the decision they had already made:Have to manipulate SDM tools to get what you want and get it to say what you want it to say (Interview 36).SDM can be manipulated to give you whatever outcome you want, especially the Safety tool. Just a matter of ticking or not ticking a particular box (Interview 32).The theme of manipulating the tools emerged from one of the first observa- tional experiences in the research. A practitioner was discussing with col- leagues how to get the result she wanted from the FRET and one of them explained how and then showed her (and the researcher) what to do.To promote consistencyConsistency in decision making and service delivery between practitioners, teams and Child Safety Service Centres was, generally, not considered to be important by the participants in this research and it became clear that the SDM tools had not improved consistency in terms of the process or out- comes of decision making:Huge differences between how different offices use the tools (Interview 32).Huge differences between service centres—some things go from one extreme to another—a P1 [notification requiring a response within 24 hours] from another centre might only be a CCR [Child Concern Report not requiring a response] if she accepts it in this office (Interview 34).One participant suggested the following reason for this lack of consistency:. . . because of people’s different experiences and knowledge because this impacts on how they interpret the definitions within SDM—particularly words like ‘cruel’ and ‘usual’ (Interview 34).Contextual factors also emerged strongly as a theme to explain inconsis- tency between Child Safety Service Centres (CSSC):. . . added that they were not busy that week—on a busy week that might have been a CCR (Child Concern Report, not requiring action) (Comment by participant, excerpt from Field Diary).Used to work in [another Child Safety Service Centre] where it was much busier and there she used the tools differently—there was no point in;Gillingham, Humphreys - 2010 - Child Protection Practitioners and Decision-Making Tools Observations and Reflections from the Front Line.pdf;Structure: Findings Results;1;;start=62 end=2552 startpage=7 endpage=7;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
28:289;screening in things up there that she would here because they would just never get to them anyway (I…;screening in things up there that she would here because they would justnever get to them anyway (Interview 21).To target the children most in needThe findings that the SDM tools were not used to assist decision making and did not promote consistency presented in the previous two subsections suggest that neither were they used to target the children most in need. In particular, statements made by participants about use of the FRET, which is used to determine which cases should be opened for further inter- vention, support this conclusion.The FRET was not used at the time decisions about cases were made and had little part in the process of decision making:FRET done as an afterthought and has little influence on what they do with a case subsequently (Interview 42).FRET as another piece of paperwork (Interview 12).The time differences between decisions and actions being taken and sub- sequently recorded using the SDM tools emerged in the audit of the case files. This was confirmed by observations of practitioners conducting inves- tigative interviews with families and then returning to the office. Case files (and the SDM tools) were frequently not updated or completed for days, perhaps even weeks, until or unless there was some imperative to do so, for example, the need to close or transfer a case or the possibility of scrutiny of a case file by senior management.Despite the guidance provided by the Department’s Practice Manual, cases that had been assigned a ‘high-risk’ level were routinely closed, again because of limited resources:FRET is fairly useless as always gives high or very high—they do not auto- matically open very high cases as they do not have the staff to do so (Inter- view 24).In summary, the findings of this research were that the aims of the implementation of the SDM to assist decision making, promote consistency and target the children most in need of service provision had not been met. The focus of the research on how the tools were actually being used also provided useful insights about why these aims were not being met.Explaining the findings: practitioner perspectives and unintended consequencesDuring interviews, participants were keen to explain why they did not use the tools as intended by their designers. Their reasons can be summarised under two main themes in the data, which relate to the design of;Gillingham, Humphreys - 2010 - Child Protection Practitioners and Decision-Making Tools Observations and Reflections from the Front Line.pdf;Structure: Findings Results;1;;start=43 end=2420 startpage=8 endpage=8;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
29:352;Descriptive statistics of the variables included in the analysis are presented in On-Line Table 2, a…;"Descriptive statistics of the variables included in the analysis are presented in On-Line Table 2, and a correlation matrix of the survey scales (Pearson’s r) is presented in On-Line Tables 3a, 3b, and 3c. The main result of the analysis is presented in the structural equation diagram of Fig. 2. As can be seen in Fig. 2, the model is quite complex, and so we made certain accommodations to promote visual clarity. First, the measurement models and correlations are omitted from Fig. 2 and are instead presented in On-Line Tables 4a, 4b, 4c, 5 and On-Line Figures 4 and 5. The “L” in the scale names in Fig. 2 indicates the latent form of the variable, with reliability/measurement error already taken into account. Further, some of the exogenous variables (V57, V58, Male, Seniority, and PHisp) are shown in more than one place; it should be understood that conceptually these are singular, and ideally would be shown in just one place with all the associated arrows leading into and out of them – the reader is asked to make this combination mentally. Please note that residuals and R2 statistics (which correspond to the proportion of variance accounted for by the model) are given at the base of a short arrow leading into each endogenous variable (i.e., each variable that is “downstream” from any other variables in the model, and hence has some proportion of its variance explained by it).The model presented herein fits the observed data extremely well judging by the global fit statistics. The CFI and TLI (each ranging from 0 to 1) are both 0.99, the RMSEA is 0.018 (p < 0.05), and the SRMR is 0.027 (which is very low). In the remainder of this section we describe the model in terms of the latent variables and directional paths (represented by arrows) between them. We have organized the description of the structural model in terms of the DME, starting with influences on";Graham et al. - 2015 - The Decision Making Ecology of placing a child into foster care A structural equation model.pdf;Structure: Findings Results;1;;start=1011 end=2898 startpage=5 endpage=5;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
29:353;the outcome (Placement Decisions), and then consider other variables within each of the DME domains…;the outcome (Placement Decisions), and then consider other variables within each of the DME domains (specifically Case, Organizational, and Individual domains). For each variable we describe what other variables in the model influence it, and indicate the extent to which the variable was explained (or not) in total by other variables in the model. It is our hope that our description of these variables and their interrelationships, even those not directly related to the placement decision, will promote a better understanding of the placement decision by explicating its context in terms of the DME domains and their mutual influences.Placement DecisionsWe found five factors that significantly influenced the percent of cases that resulted in removal of a child and placement into foster care, though together they explained only a modest proportion of the decision’s variance (R2 = 0.120). Case factors even as aggregated to the worker level were of most importance: Percent Removed was increased in part by greater average Risk being assessed (ˇ = 0.263) and more families on a worker’s caseload being Low Income (ˇ = 0.103). On the other hand, the placement percentage was decreased by higher proportions of Hispanic families on one’s caseload (ˇ = −0.099). Two Organizational factors were associated with lower percentages of removals: perceived organizational Support (ˇ = −0.131) and Workload/Resources being perceived as unmanageable (ˇ = −0.163). Another way to look at the negative coefficients is that placement rates were increased by lower proportions of Hispanic families on the caseload, as well as lower organizational support, and a perception of manageable workload and sufficient resources. Individual factors, i.e., variables characterizing the caseworkers, were not found to directly influence the placement decision, including workers’ own race/ethnicity.Case FactorsAmong case factors, only Risk Assessment was affected by other variables in the model, although it was not much explained by them (R2 = .053). Low Income (ˇ = 0.116) and the caseworker’s External Reference (ˇ = 0.093) influenced their risk assess- ments to be higher risk, whereas higher Case Skills (ˇ = −0.082) and a greater proportion of African American (ˇ = −0.193) or Hispanic (ˇ = −0.182) families on the worker’s caseload influenced their risk assessments to be lower risk.Organizational FactorsAmong Organizational factors, about a fifth of the variance (R2 = .209) of Support was explained by the model. It was promoted by a perception of availability of Services (ˇ = 0.305), and detracted from by Seniority (ˇ = −0.133), and by Workload being unmanageable (ˇ = −0.247). About 10% of the variance of Services was explained by the model (R2 = .107). Interpersonal Skills (ˇ = 0.239) and Disposition decision being based upon risk assessment (ˇ = 0.121) increased perception that services were sufficiently available, whereas Worry that CPS sometimes makes things worse for the child (ˇ = −0.155) and greater Seniority (ˇ = −0.099) detracted from it. Also 10% of the variance of perceived Workload and Resources was explained by the model (R2 = 0.102). Higher levels of Interpersonal Skills determined in part (ˇ = 0.173) a perception that workload was too high and/or that resources to adequately perform the job were insufficient.Caseworker FactorsThe construct most fully explained by the model was Worry about Liability (R2 = .447, which can be interpreted to indicate that nearly 45% of the latent construct’s variance was determined by other variables in the model). Worry about Liability was directly influenced by Difficult Situations (ˇ = 0.409) and indirectly by Support (ˇ = −0.376). By way of illustration of how to interpret negative paths such as this, this latter finding can mean that the greater a worker’s expectation of support by their supervisor if a child were to be harmed in one of the worker’s cases the less they tend to worry about the possible negative consequences to themselves that might happen due to such an event (e.g., getting disciplined or fired). Conversely, having less support causes more of this worry. The direct influence of Difficult Situations on Worry about Liability suggests that caseworkers who are uncomfortable working with hostile or difficult clients are more likely to be concerned about the personal consequences of their decisions. Workers also tended to be more worried about liability if they had more Seniority (ˇ = 0.149), greater Case Skills (ˇ = 0.171), and assessed their cases as being relatively risky (ˇ = 0.108). Higher levels on the Supervision and Work Unit factor (which reflects caseworkers’ perceptions of the quality of supervision they receive and support they receive from their coworkers) also were associated with more Worry about Liability (ˇ = 0.104).About 40% of the variance (R2 = .392) of the latent construct Difficult Situations was explained by the model, which is directly affected by an Internal Reference orientation (ˇ = 0.596), Workload and Resources being perceived as unmanageable (ˇ = 0.168), and Worry that CPS makes things worse for the child (ˇ = 0.125). On the other hand, Difficult Situations was lessened by the caseworker being male (ˇ = −0.155), by having more of an External Reference orientation (ˇ = −0.200), and by having a relatively high level of Case Skills (ˇ = −0.096).About a fifth of the variance (R2 = 0.202) of Internal Reference was explained by the model, specifically by Worry that CPS sometimes makes things worse for the child (ˇ = 0.408), and Professional collateral information is more reliable (ˇ = 0.085). Interpersonal Skills, however, negatively influenced Internal Reference (ˇ=−0.141). Less of the variance of External;Graham et al. - 2015 - The Decision Making Ecology of placing a child into foster care A structural equation model.pdf;Structure: Findings Results;1;;start=62 end=5819 startpage=6 endpage=6;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
30:411;The fact that analytical decision making was never found to be the sole method of decision making pr…;The fact that analytical decision making was never found to be the sole method of decision making provides some important indicators about the way in which this type of decision making was used by social workers. Analysis of the data suggested that analytical decision-making methods were used for very specific reasons and in particular types of cases alongside experiential decision-making strategies, as demonstrated in the following example.Example 4: Evidence-based practice (Case 98)Here, a mother whose other children had been placed in the care of the local authority became pregnant. A case conference was held at which it was decided on the strength of historical information that the child should be placed in the care of the local authority at birth:I became involved in the case just after she was born and the decisions were already made because . . . historically her other siblings live [in care] . . .. So the decision was already made at the initial child protection conference that the baby would be removed at birth and placed with foster carers.Clearly, then, decision making was strongly influenced by prior experience of the family’s situation:Researcher: So the fact that this family was already known was quite an im- portant factor?Social worker: Very and plus you know all the other children don’t live with her.;Hackett, Taylor - 2014 - Decision Making in Social Work with Children and Families The Use of Experiential and Analytical Cognitive Proc.pdf;Structure: Findings Results, Structure: Methodology;2;;start=660 end=2005 startpage=9 endpage=9;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
30:412;Experiential decision making All ninety-eight cases involved some element of experiential decision m…;Experiential decision makingAll ninety-eight cases involved some element of experiential decision making and, as in other naturalistic decision research, this revolved heavily around the use of prior case experience and intuition. This could be broken down further into seven main categories of experiential decision making as shown in Table 3 with their corresponding frequencies.Table 3 shows that the two most frequent types of experiential decision making used were: evidence of a family’s reaction to intervention and com- parison with known history, and prior experience of the family. A third cat- egory of decision making, featuring in two-fifths of cases, was comparison to other cases. These decision categories are important and warrant further explanation, particularly because simplifying decision making in this way could lead to systematic errors (Tversky and Kahneman, 1982). These errors could arise if workers fail to consider all the options that are available to them, assuming instead a fixed pattern of response born of prior experi- ence with the family or of other similar cases (Munro, 2002, p. 115). Indeed, such processes were identified in some of the cases, as highlighted in the fol- lowing three examples.Example 1: Using the family’s response to intervention as a guide to decision making (Case 38)A parent had made a number of requests for her children to be taken into the care of the local authority. The children were placed in the care of the local au- thority whilst further assessment could be undertaken. Throughout this process, the worker formed a positive view of the mother, largely based on the mother’s perceived commitment to addressing the underlying issues in her life, such as:Mother has engaged fully with the assessment process and accepts that she needs to address her unresolved issues in order for her to move forward.Mother recognises that she requires support with aspects of her parenting and has shown a willingness to work with children’s services and appears to be committed to making the necessary changes.On the basis of the mother’s engagement during the assessment, and in the absence of any consideration of other indicators, it was decided that the children’s names should be returned home. At this point, the mother refused to engage further with social services, who then had no remit under which to ensure that the mother did seek support.;Hackett, Taylor - 2014 - Decision Making in Social Work with Children and Families The Use of Experiential and Analytical Cognitive Proc.pdf;Structure: Findings Results;1;;start=163 end=2579 startpage=6 endpage=6;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
30:414;However, the stakes were high, as the case was in the court arena and the risks to the child signifi…;"However, the stakes were high, as the case was in the court arena and the risks to the child significant. Additionally, some of the issues were unfamiliar to the social worker. This might account for the attempted use of evidence-based practice (EBP) in the assessment record, such as:Babies need stimulation in order for cognitive development to be success- fully reached. When mothers suffer depression the babies’ cognitive devel- opment may be affected because there is less interaction between mother and baby. Depressed mothers are known to respond less frequently to their babies’ cries.In interview, the social worker suggested that there was also a need to provide clear evidence via the core assessment for the decisions being made:It just reaffirmed that the decision was correct. So you know it gave you extra evidence you know just to reaffirm what decisions were made were correct because the baby would have been at immediate risk.Thus, analytical decision making was used alongside experiential decision making in such a way as to provide evidence for decisions already taken intuitively.The impact of case characteristics and environmental factors on decision makingThe data therefore suggested that social workers rely primarily on experi- ential methods of decision making rather than more formal analytical methods. The next step was to investigate the way in which case, individual and environmental factors influenced these processes. It was striking that:† familiarity with the case was a feature of 70.4 per cent of cases, whilst his- torical information was available in 61.2 per cent of cases;† certainty was a feature in 70.4 per cent of cases; and† in 51.3 per cent of cases, decision making was seen to be straightforward.An initial exploration of the influence of these characteristics suggested that these factors were associated with the use of more intuitive cognition relying on prior case work experience. As one social worker described:It wasn’t a difficult conclusion to reach. I didn’t agonise over it. I felt that it was an easy decision to make as for what was the best outcome. . . . It’s not the first time I’ve had to make a recommendation on these lines (Case 14).This poses one set of challenges for achieving the kind of analytical decision making typically seen as the ‘gold standard’. An exploration of the decision environment within which participants were working raised a further set of challenges. This exploration was based on considering the presence or absence of nine factors considered typical of naturalistic decision environ- ments (Orasanu and Connolly, 1993; Lipshitz, 1993). Table 5 shows that";Hackett, Taylor - 2014 - Decision Making in Social Work with Children and Families The Use of Experiential and Analytical Cognitive Proc.pdf;Structure: Findings Results;1;;start=34 end=2702 startpage=10 endpage=10;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
30:415;elements of all of these nine factors (see Table 2 for explanations) were present in the cases under…;elements of all of these nine factors (see Table 2 for explanations) were present in the cases under examination.As can be seen in Table 5, the dynamic nature of the decision environ- ment was the prevalent complicating feature. Action/feedback loops (75.5 per cent), dynamic interplay (72 per cent) and uncertain dynamic environments (51 per cent) were the most frequently occurring factors to be found in the environment. This has implications for both decision making and the way in which analytical aids to decision making, such as the Assessment Framework, fit into this process, for two reasons.First, it shows that there was clearly interplay between the decision environment and the decision-making process. The process was therefore non-linear and social workers had to react and make decisions in the face of changing situations and changing levels of information so that decisions were never ‘discrete isolated events’ (Lipshitz, 1993, p. 133). As a result, in- formation was not always presented in a ‘neat, complete form’ (Orasanu and Connolly, 1993, p. 7) and, in fact, an ‘ill structured problem’ was a feature of 33.7 per cent of cases. This is in sharp contrast to the logical, step-by-step process suggested within conceptualisations of analytical decision making.Second, the non-linear nature of the decision-making process resulted in some decisions being made before the core assessment had been completed and consequently through means other than those proposed in assessment guidance. Therefore, the decision environment also seemed likely to have complicated the decision-making process so that decisions (of which 67 per cent were risk decisions) were being made using primarily experien- tial modes of decision making.Decision-making mechanismsUsing the findings from the analysis outlined in the preceding sections as a starting point, it was subsequently necessary to explore further the relation- ship between these individual, case and environmental factors and social workers’ cognitive processes using statistical methods in order to establish;Hackett, Taylor - 2014 - Decision Making in Social Work with Children and Families The Use of Experiential and Analytical Cognitive Proc.pdf;Structure: Findings Results;1;;start=400 end=2480 startpage=11 endpage=11;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
30:416;patterns of association across all cases. Since all of the cases involved some element of experienti…;patterns of association across all cases. Since all of the cases involved some element of experiential or intuitive decision making, it was most interesting to explore the mechanisms that were related to the use of analytical deci- sion making alongside these other cognitive processes.Initially, a basic exploration of the associations between analytical cogni- tion and each of the variables that emerged from the qualitative analysis as significant influences on the type of cognition used was undertaken using chi- square and ANOVA tests. Whilst the sample size was such that it was not possible to make inferences from these tests to the population as a whole, it was possible to use them to look at the emerging patterns in this data set. Where significant relationships were uncovered, Phi tests were then run to determine the strength and association of these relationships (Fielding and Gilbert, 2006, pp. 215–17). The resulting statistic provides a measure that ranges between –1 and 1, where zero means that there is no association and one means that there is a perfect association. Where a positive associ- ation exists (between 0 and 1), this means that, as one variable increases, so the other variable increases. Where a negative association exists (between 0 and – 1), this means that, as one variable increases, the other vari- able decreases. Table 6 shows the independent and outcome variables included in the Phi test and the strength and direction of these associations.The results shown in Table 6 show the following patterns of association existed in the data set:(1) As the level of perceived risk in a case increases, so analytical decision making increases.(2) As the social worker’s perceived level of certainty increases, analytical de- cision making decreases.(3) As familiarity with the type of case or issues raised increases, analytical decision making decreases.(4) As the amount of available historical information in a case increases, ana- lytical decision making increases.;Hackett, Taylor - 2014 - Decision Making in Social Work with Children and Families The Use of Experiential and Analytical Cognitive Proc.pdf;Structure: Findings Results;1;;start=34 end=2049 startpage=12 endpage=12;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
30:417;(5) As the perceived need for evidence, such as for legal proceedings, increases, analytical decisio…;(5) As the perceived need for evidence, such as for legal proceedings,increases, analytical decision making increases.(6) As dynamic interplay (i.e. the interplay between the decision environ- ment and social workers’ understanding of that environment) increases, analytical decision making increases.(7) As action/feedback loops (i.e. the extent to which action feeds back into further decision making) increases, analytical decision making increases.(8) As uncertain dynamic environment (e.g. uncertainty about how to proceed or a constantly changing situation) increases, analytical decision making increases.(9) As the stakes in a case increase, analytical decision making increases.The biggest influence on the use of analytical decision making was the pres- ence of high stakes, which showed a strong positive relationship with ana- lyitical decision making (phi value 1⁄4 0.600).Whilst this analysis provided some interesting initial indications about the relationships between case, individual and environmental characteristics and decision processes, these variables were rarely found in isolation. It was there- fore necessary to explore combinations of case and environmental characteris- tics and their relationship to the cognitive decision processes, in a way which could not be achieved through simple bivariate analysis. Cluster analysis was therefore used to identify how different combinations of case and environmen- tal factors co-occurred alongside different types of decision making according to the decision context. A QCA analysis was undertaken using the nine inde- pendent variables highlighted in Table 5, together with the outcome variable ‘analytical decision making’. The results of the QCA confirmed that, whilst de- cision making was predominantly experiential, there was variation in the type of decision-making strategy used according to complex combinations of case and environmental characteristics. Specifically, the results showed that the fol- lowing causal relationships existed between combinations of case and environ- mental characteristics and the use, or not, of analytical cognition:(1) Risk decision + historical information available + a need for evidence + an uncertain dynamic environment + action/feedback loops 1⁄4 presence of analytical cognition.(2) Case type familiar + absence of an uncertain dynamic environment + absence of action/feedback loops + absence of high stakes + absence of a need for evidence 1⁄4 absence of analytical cognition.;Hackett, Taylor - 2014 - Decision Making in Social Work with Children and Families The Use of Experiential and Analytical Cognitive Proc.pdf;Structure: Findings Results;1;;start=63 end=2570 startpage=13 endpage=13;Stefan Kleipoedszus;12/10/2018;Stefan Kleipoedszus;12/10/2018
