"","Document","Number","text","Codes","id","Groups","dec_type","subject","approach","tools","year","decade"
"55","Darling et al. - 2016 - Divergent Views of Clients and Professionals Divergent Views of Clients and Professionals A Comparison of Respo.pdf","203:228",". decision making judgment information search child abuse neglect","Keywords",203,"Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique","Clinical Decisions ","Decision Maker Factors ","Quantitative ","Quantitative Tools ",2016,"NA"
"56","Davidson-Arad - 2005 - Fifteen-month follow-up of children at risk Comparison of the quality of life of children removed from home and c.pdf","206:221","childrenatrisk quality followup intervention outcomes removal","Keywords",206,"Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Rev: Included, Subj: CF Case Factors, Tool: VT Vignettes Critical Incident Technique","Strategic Decisions ","Case Factors ","Quantitative ","Vignette Studies ",2005,"2000s"
"57","Davidson-Arad, Benbenishty - 2016 - Child Welfare Attitudes, Risk Assessments and Intervention Recommendations The Role of Professional.pdf","209:232","attitudes decisions removal maltreatment professionals status experience assessments","Keywords",209,"Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique","Strategic Decisions ","Decision Maker Factors ","Quantitative ","Quantitative Tools ",2016,"NA"
"58","DeRoma et al. - 1997 - Influence of information related to child physical abuse on professional ratings of adjustment and prognosis.pdf","212:175","wordsinfluence physical abuse adjustment children.","Keywords",212,"Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique","Clinical Decisions ","Case Factors ","Quantitative ","Quantitative Tools ",1997,"1990s"
"59","DeRoma et al. - 2006 - Important risk factors in home-removal decisions Social caseworker perceptions.pdf","213:141","words maltreatment family factors caseworker perceptions.","Keywords",213,"Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation","Clinical Decisions ","Case Factors ","Quantitative ","Ethnographic Tools ",2006,"2000s"
"60","Doherty - 2017 - Child protection threshold talk and ambivalent case formulations in ‘borderline’ care proceedings cases.pdf","216:193","keywordsedge thresholds borderline cases discourse sensemaking decisionmaking proceedings","Keywords",216,"Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation","Clinical Decisions ","Organisational Factors ","Qualitative ","Ethnographic Tools ",2017,"NA"
"61","Giles et al. - 2007 - Clinical priorities Strengthening social work practice in health.pdf","226:183","clinical priorities decision making strengthening practice","Keywords",226,"Appr: MM Mixed Methods, Dec_Typ: CL Clincal Decisions, Gr: Adults, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation, Tool: QT Survey, Questionaire, Psy Test","Clinical Decisions ","Decision Maker Factors ","Appr: MM ","Ethnographic Tools ",2007,"2000s"
"62","Helm - 2017 - Can I Have A Word Social Worker Interaction and Sense-Making.pdf","233:115","words safeguarding children sensemaking ethnography knowledge judgement qualitative","AC: Qualitative Methods, Keywords",233,"Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation","Clinical Decisions ","Decision Maker Factors ","Qualitative ","Ethnographic Tools ",2017,"NA"
"63","Howell - 2007 - Decisions with good intentions Substance use allegations and child protective services screening decisions.pdf","238:229",". child welfare decision making screening intake substance /abuse values child protective services racial disproportionality","Keywords",238,"Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test","Clinical Decisions ","Decision Maker Factors ","Quantitative ","Quantitative Tools ",2007,"2000s"
"64","Keddell - 2016 - Weighing it up family maintenance discourses in NGO child protection decision-making in AotearoaNew Zealand.pdf","251:133","child protection culture decisionmaking discourse orientation","Keywords",251,"Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation","Strategic Decisions ","Organisational Factors ","Qualitative ","Ethnographic Tools ",2016,"NA"
"65","Keddell - 2017 - Interpreting children’s best interests Needs, attachment and decision-making.pdf","252:174","keywordssocial child family welfare attachment child protection constructionism decision making","Keywords",252,"Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation","Clinical Decisions ","Case Factors ","Qualitative ","Ethnographic Tools ",2017,"NA"
"66","McLaughlin et al. - 2010 - Decision-making and evidence in direct practice.pdf","261:122","evidence direct practice nonprofit practice wisdom","Keywords",261,"Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Adults, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation","Clinical Decisions ","Decision Maker Factors ","Qualitative ","Ethnographic Tools ",2010,"2010s"
"67","Meiksans, Iannos, Arney - 2015 - Factors influencing decision making about the placement of children in care Development of the Child Pl.pdf","262:356","keywordsplacement decisionmakingout measure development","Keywords",262,"Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: OF Organisational Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique","Clinical Decisions ","Organisational Factors ","Quantitative ","Quantitative Tools ",2015,"2010s"
"68","Nikolova, Lwin, Fluke - 2017 - Attitudes on the Responsibility for Child Safety Key Child Protection Worker Characteristics.pdf","270:234","keywordschild protection family preservation child safety worker attitudes","Keywords",270,"",NA,NA,NA,NA,2017,"NA"
"69","Regehr et al. - 2015 - Suicide risk assessments Examining influences on clinicians’ professional judgment.pdf","278:119","stress burnout trauma suicide assessment","Keywords",278,"",NA,NA,NA,NA,2015,"2010s"
"70","Schofield et al. - 2007 - The search for stability and permanence Modelling the pathways of long-stay looked after children.pdf","288:66","looked children variation local authorities legal placement options children starting looked","Keywords",288,"",NA,NA,NA,NA,2007,"2000s"
"71","Sieracki et al. - 2015 - The role of race, socioeconomic status, and System of Care services in placement decision-making.pdf","291:287","keywordschild welfare placement decisions system","Keywords",291,"",NA,NA,NA,NA,2015,"2010s"
"72","Stanley - 2013 - 'Our tariff will rise' Risk, probabilities and child protection.pdf","295:207","reification child protection probabilities social","Keywords",295,"",NA,NA,NA,NA,2013,"2010s"
"73","Sullivan et al. - 2008 - Perception of risk among child protection workers.pdf","299:89","assessment child welfare","Keywords",299,"",NA,NA,NA,NA,2008,"2000s"
